study_id,first_author_year,journal,pub_year,design_type,exclude_reason,exposure,mediator,outcome,step1_IV_source,step2_IV_source,n_IV_step1,n_IV_step2,n_IV_shared,pi_shared_pct,IV_selection_strategy,M_GWAS_Y_GWAS_overlap,overlap_pct_reported,X_GWAS_M_GWAS_overlap,indirect_effect_method,variance_method,reports_overlap_risk,alpha_hat,beta_hat,se_alpha_hat,se_beta_hat,indirect_effect_CI_lower,indirect_effect_CI_upper,significant_as_reported,risk_flag_for_reanalysis,data_availability,coder_initials,coding_date,notes
S318,Guo J_2025,Discov Oncol,2025,两步法MR中介,,饮食偏好 (dietary preferences),"肠道微生物 (gut microbiota, GM)","前列腺癌 (prostate cancer, PCa)",,,,,无法判断,,分开选IV,无法判断,,无法判断,Carter et al. 传统两步法,Delta法(独立假设),,,,,,,,是,,,WorkBuddy(AI全文核实-chunk4),2026-09-03,PMID 40121389。饮食→GM→PCa。分组为GCST/ieu accession，未按暴露/中介角色区分，真实SNP重叠无法判断。
S352,Sun Y_2025,J Cell Mol Med,2025,两步法MR中介,,脂质组 (lipidome),循环炎症蛋白 (circulating inflammatory proteins),"糖尿病视网膜病变 (diabetic retinopathy, DR; NPDR, PDR)",,,,,无法判断,,分开选IV,无法判断,,无法判断,"两步中介MR (β1×β2, Delta法P值)",Delta法(独立假设),,,,,,,,是,,,WorkBuddy(AI全文核实-chunk6),2026-09-03,PMID 40464192。脂质组→炎症蛋白→DR/NPDR/PDR，明确Delta法。无SNP分组JSON，真实重叠无法判断。
S348,Xiao F_2025,Medicine (Baltimore),2025,两步法MR中介,,"潜伏性自身免疫糖尿病 (latent autoimmune diabetes, LADA)",免疫细胞 (immune cells),"乳腺癌 (breast cancer, BC) 亚型",,,,,无法判断,,分开选IV,无法判断,,无法判断,"两步MVMR中介 (系数乘积法, delta法CI)",Delta法(独立假设),,,,,,,,是,,,WorkBuddy(AI全文核实-chunk6),2026-09-03,PMID 40419887。LADA→免疫细胞→BC，两步MVMR中介，明确delta法。JSON 51组按性状命名(尾部长尾1 SNP)，未区分暴露/中介角色，真实重叠无法判断。
S384,Tan S_2025,Discov Oncol,2025,两步法MR中介,,"棕榈酰化相关基因/甲基化(palmitoylation genes/mQTL, ZDHHC3/6/13,PPT2)","神经影像内表型(neuroimaging endophenotypes, 如皮层厚度)",胶质母细胞瘤(GBM),,,,,无法判断,,分开选IV,无法判断,,无法判断,Product method,Delta法(独立假设),,,,,,,,是,,,WorkBuddy(AI全文核实-batch12),2026-09-03,"PMID:40779097. 两步法MR中介: palmitoylation→神经影像内表型→GBM, 间接效应>15%. eQTL/mQTL选IV(P<1e-5), IVW. 非A类，真实IV重叠无法计算. 显著性须按原文逐路径核实."
S234,,,,两步法MR中介,,"BMI-independent gluteofemoral fat (GFAT, 臀股部脂肪/独立于BMI的局部脂肪分布)",4类候选中介: 血管风险因素(SBP/T2DM/LDL)、胰岛素抵抗(fasting insulin)、炎症(CRP)、脂肪组织因子(adiponectin/leptin),"Stroke (缺血性卒中), CAD, 血管表型",,,,,无法判断,,分开选IV,无法判断,,可能重叠未披露,,Delta法(独立假设),,,,,,,,是,,,"WorkBuddy(AI全文核实-设计已确认,IV重叠因JSON粗糙无法计算)",2026-09-03,"PMID:39148834 | GFAT→多中介→卒中/CAD。两步法MR: UV-MR(暴露→中介)×MVMR(中介→结局, 校正暴露)=间接效应, 中介比例=间接/总效应, Bootstrap(1000)验显著性。数字: SBP中介9-58%, T2DM 6-40%, LDL 3-13%, adiponectin 14.9%(缺血性卒中)/4.6%(CAD), leptin候选(CAD)。JSON组名粗糙(media-2.xlsx::LDL genetic instrument等表级fallback), 真实IV重叠需人工核对原始附件, 无法自动计算。"
S390,Liu WH_2025,Brain Behav,2025,两步法MR中介,,"脑功能网络(brain functional networks, rsfMRI phenotypes, 191个)","循环炎症蛋白(circulating inflammatory proteins, 91个)","周围性神经病理性疼痛(pNP, 含PHN/TN)",,,,,无法判断,,分开选IV,无法判断,,无法判断,Product method,Delta法(独立假设),,,,,,,,是,,,WorkBuddy(AI全文核实-batch12),2026-09-03,PMID:40847468. 两步法MR中介: 脑网络功能→循环炎症蛋白→pNP(PHN/TN). product of coefficients + delta法. 识别11个功能脑网络因果关联pNP. 非A类，真实IV重叠无法计算. 显著性须按原文逐路径核实.
S334,Yao YX_2025,Ren Fail,2025,两步法MR中介,,"GLP1R激动剂 (GLP1R agonist, 药物靶点)","循环炎症蛋白 (circulating inflammatory proteins, e.g., SLAMF1, CSF1)","肾脏疾病 (kidney diseases: 糖尿病肾病, IgA肾病等)",,,,,无法判断,,分开选IV,无法判断,,无法判断,"两阶段网络MR (two-stage network MR, delta法CI)",Delta法(独立假设),,,,,,,,是,,,WorkBuddy(AI全文核实-chunk5),2026-09-03,PMID 40230199。GLP1R→炎症蛋白→肾病，两阶段网络MR，明确delta法(SLAMF1中介比例34.27%)。JSON仅含GLP1R暴露6 SNP，无中介分组，真实重叠无法判断。
S387,,,,两步法MR中介,,"肠道菌群(gut microbiota, 207 taxa)","免疫细胞(immunocytes, 730 phenotypes)","炎症性肠病(IBD, 含UC/CD)",,,,,无法判断,,分开选IV,无法判断,,无法判断,Product method,Delta法(独立假设),,,,,,,,是,,,WorkBuddy(AI全文核实-batch12),2026-09-03,"PMID:40822850. two-sample & two-step MR: GM→免疫细胞→IBD. 报告6/6/1 taxa分别因果关联IBD/UC/CD. A类SNP JSON含730组(免疫表型名 + 1个GM taxa表'S2' n=3333), 未按暴露/中介角色清晰分组，真实IV重叠无法计算，标记无法判断. 显著性须按原文逐路径核实."
S354,Xiao S_2025,Int J Gynaecol Obstet,2025,两步法MR中介,,"脂质代谢物 (lipid metabolites, 179个)","循环炎症因子 (circulating inflammatory factors, 91个)",早产 (preterm birth),,,,,无法判断,,分开选IV,无法判断,,无法判断,"两步中介MR (β1×β2, 比例=间接/总)",Delta法(独立假设),,,,,,,,是,,,WorkBuddy(AI全文核实-chunk6),2026-09-03,PMID 40482012。179脂质→91炎症因子→早产，乘积系数法。JSON 27组按脂质物种命名，未区分炎症因子角色，真实重叠无法判断。
S321,Xiang L_2025,Int J Mol Sci,2025,两步法MR中介,,"GLP1RA (药物靶点, genetically proxied GLP1R activation)",BMI/体重管理 (BMI / weight management),"精神分裂症风险 (schizophrenia, SZ risk)",,,,,无法判断,,分开选IV,无法判断,,无法判断,药物靶点MR+两步中介 (Delta法),Delta法(独立假设),,,,,,,,是,,,WorkBuddy(AI全文核实-chunk4),2026-09-03,PMID 40141382。GLP1RA降低SZ风险经BMI中介(血糖调控非中介)。明确Delta法。SNP分组未按角色标注，真实重叠无法判断。
S150,Du Y_2023,Front Endocrinol (Lausanne),2023,两步法MR中介,,25(OH)D(维生素D),Total testosterone(TT),Osteoporosis(骨质疏松),"UK Biobank(25(OH)D,496,946人)","性激素GWAS(具体见原文ref,TT)",45,50,,5.91,"测试4个候选性激素(TT/A4/E2/T-E2),只有TT对OP有因果效应,进入正式中介分析",,,,Product of coefficients,,否,,,,,,,"是(部分中介,直接效应0.221仍显著)","低风险(设计清晰,SNP数明确)",summary stats公开(UK Biobank/FinnGen),Claude(AI全文核实),2026-08-19,"PMID:37082118 | Roles of sex hormones in mediating the causal effect of vitamin D on osteoporosis: A two-step Mendelian randomization study. | [全文关键句核实通过-设计确认] [D46-全文核实-Claude] PMID:37082118. 标准two-step MR:25(OH)D(45个SNP)→TT(50个SNP)→osteoporosis(FinnGen,6303例/325717对照)。测试了4个候选性激素中介(TT/A4/E2/T-E2)，只有TT对OP有显著因果效应，A4/E2/T-E2因为对OP本身无因果效应被排除，只有TT进入正式两步法中介。25(OH)D→TT: OR=1.06(95%CI:1.01-1.13,p=0.03)。中介效应=0.014,直接效应=0.221，中介比例=5.91%(部分中介，direct effect仍然显著)。n_IV_shared未计算(附件原始SNP列表未获取)。"
S005,Causal relationship between tea intake and cardiovascular diseases: A Mendelian ,Front Nutr,2022,两步法MR中介,,,,,,,,,,,无法判断,,,,,,,,,,,,,,,PMID:36225867,"Claude(AI初筛,待人工复核)",2026-07-01,"PMID:36225867 [D38-终态标注: PMID 36225867 全文不可得(oa_status=None)，按编码规则Rule标""无法判断""+n_IV_shared留空]"
S471,Li JA_2026,Medicine (Baltimore),2026,两步法MR中介,,,,,,,,,,,,,,,,,,,,,,,,,,,"Claude(AI全文核实,已确认设计)",2026-07-02,PMID:41760004 | Immune cells mediated the causal relationship between gut microbiota and carpal tunnel syndrome: A Mendelian randomization study. | [全文关键句核实通过-设计确认]
S046,Mediating role of thyroid dysfunction in the relationship between insomnia and o,Exp Gerontol,2025,两步法MR中介,,,,,,,,,,,无法判断,,,,,,,,,,,,,,,PMID:40714123,"Claude(AI初筛,待人工复核)",2026-07-01,"PMID:40714123 | Mediator MR，报告中介比例 [D38-终态标注: PMID 40714123 全文不可得(oa_status=None)，按编码规则Rule标""无法判断""+n_IV_shared留空]"
S057,The role of metabolites in the causal effect of immune cell phenotypes on immuno,Discov Oncol,2025,两步法MR中介,,,,,,,,,,,无法判断,,,,,,,,,,,,,,,PMID:41449282,"Claude(AI初筛,待人工复核)",2026-07-01,"PMID:41449282 [D38-终态标注: PMID 41449282 全文不可得(oa_status=None)，按编码规则Rule标""无法判断""+n_IV_shared留空]"
S208,Yang S_2024,Front Endocrinol (Lausanne),2024,两步法MR中介,,LDL-C,BMI,端粒长度(TL),,,,69,,12.83,"双向MR:TL与5个血脂指标(TG/LDL-C/HDL-C/ApoA1/ApoB)互测;测5个候选中介(BMI/BFP/WHR/HC/WC),只有BMI两步都显著",,,,Product of coefficients,Delta法,否,-0.08,-0.04,,,,,"是(间接效应小于总效应,部分中介)","低风险(设计规范,双向MR互相验证)",summary stats公开(GIANT/Neale Lab),Claude(AI全文核实),2026-08-19,"PMID:38863926 | The association between telomere length and blood lipids: a bidirectional two-sample Mendelian randomization study. | [全文关键句核实通过-设计确认] [D46-全文核实-Claude] PMID:38863926. 双向two-step MR:测试TL(端粒长度)和5个血脂指标(TG/LDL-C/HDL-C/ApoA1/ApoB)的双向因果关系,再用5个肥胖指标(BMI/BFP/WHR/HC/WC,分别69/257/31/75/65个SNP)做候选中介。**正向**(TL→血脂,通过肥胖指标中介):只有TL→WC→TG这一条通过两步筛选,但最终中介效应不显著(p=0.081)，是阴性结果。**反向**(血脂→TL,通过肥胖指标中介):只有LDL-C→BMI→TL这一条通过完整两步筛选且显著,中介比例12.83%(95%CI:0.62%-25.04%)，间接效应小于总效应，是部分中介。本行记录反向显著的这一条(LDL-C→BMI→TL)，正向的阴性结果(TL→WC→TG)未单独拆行，仅在此说明。"
S053,Beyond BMI: A Mendelian Randomization Study of the Causal Effects and Mediating ,Int J Womens Health,2025,两步法MR中介,,"GFAT(生殖腺周脂肪体积,校正BMI/身高)",FI; leptin; HOMA-IR; SHBG; BT; TG(多中介),PCOS,"GFAT: UK Biobank MRI影像队列(女性专用,n=19,273)",PCOS发现集: Gualdo et al.(Estonian Biobank+FinnGen); 复制集: Venkatesh et al.,,,,,分开选IV,无法判断,,无法判断,其他,Delta法(独立假设),是,,,,,27.66%,89.08%,是,低风险,summary stats公开可获取,"Claude(AI全文核实,待人工复核)",2026-07-02,"PMID:41031338 | [全文核实-Claude] 【重点范例，强烈建议在方法论文中引用】原文明确报告并量化了X(GFAT)-Y(PCOS)之间的样本重叠：发现集(Gualdo et al.)与暴露GWAS'无样本重叠'，明确作为主分析；复制集(Venkatesh et al.)与暴露GWAS重叠约7%(19,273/264,159)，因低于15%阈值仅作复制用途未作主分析。这是本项目综述中少见的、作者主动识别并处理总效应层面重叠的案例，但对中介比例CI仍使用标准Delta法，未见其对中介环节协方差的校正——即使作者对总效应重叠很谨慎，但中介比例计算仍可能受α̂β̂协方差影响而未被识别，可作为方法论文'即使意识到重叠问题的研究者，也未必对中介环节做协方差校正'的典型证据。"
S421,,,,两步法MR中介,,,,,,,,,,,,,,,,,,,,,,,,,,,"Claude(AI初筛-关键词自动分类,待人工复核)",2026-07-02,"PMID:41224763 | [标题缺失-语料库未匹配到,需自行核实] | 自动分类原始标签=possible_mediation_unclear_method(置信度low) | [需全文核实-关键词命中较弱或方法表述不明确]"
S009,"Causal Link between Gut Microbiota, Neurophysiological States, and Bone Diseases",Nutrients,2023,两步法MR中介,,,,,,,,,,,无法判断,,,,,,,,,,,,,,,PMID:37764718,"Claude(AI初筛,待人工复核)",2026-07-01,"PMID:37764718 | [第一轮-摘要判断，需全文核实] [D38-终态标注: PMID 37764718 全文不可得(oa_status=None)，按编码规则Rule标""无法判断""+n_IV_shared留空]"
S494,Wen X_2026,Clin Cosmet Investig Dermatol,2026,两步法MR中介,,,,,,,,,,,,,,,,,,,,,,,,,,,"Claude(AI全文核实,已确认设计)",2026-07-02,PMID:41988095 | Causal Effects of Diet on Atopic Dermatitis: A Mendelian Randomization Study Implicating Lipid Pathways and Clinical Implications. | [全文关键句核实通过-设计确认]
S433,Wang Y_2025,Food Sci Nutr,2025,两步法MR中介,,,,,,,,,,,,,,,,,,,,,,,,,,,"Claude(AI初筛-关键词自动分类,待人工复核)",2026-07-02,PMID:41311633 | Mendelian Randomization Mediation Analysis Reveals the Impact of Dietary Preferences on Preeclampsia and Fetal Growth Restriction via Immune Modulatio | 自动分类原始标签=possible_mediation_unclear_method(置信度low) | [需全文核实-关键词命中较弱或方法表述不明确]
S492,Zhang Z_2026,Int J Chron Obstruct Pulmon Dis,2026,两步法MR中介,,,,,,,,,,,,,,,,,,,,,,,,,,,"Claude(AI全文核实,已确认设计)",2026-07-02,PMID:41978582 | Pulmonary-Intestinal Axis: Shared Genetic Basis and Mediating Factors Identified Through Multi-Omics Analysis. | [全文关键句核实通过-设计确认]
S230,Cao Z_2024,Inflammopharmacology,2024,两步法MR中介,,"Insulin therapy(胰岛素疗法,drug-target MR)","6个候选中介(BMI/久坐行为/吸烟/饮酒频率/年龄/性别)——全部未通过筛选,未发现显著中介",骨关节炎(OA)及亚型(KOA/HOA),,,,,,,"drug-target MR+MVMR+two-step mediation MR,6个候选中介逐一测试,全部未通过",,,,"Product of coefficients(设计上采用,因无显著中介未算出比例)",,"是(明确说明中介数据来自和结局不同的数据库,以避免样本重叠)",,,,,,,否(阴性结果:6个中介proportion of mediation全部为NA),"中风险(胰岛素工具变量条件F统计量仅2.74,弱工具变量问题明显,阴性结果可能部分归因于此)",summary stats公开,"Claude(AI全文核实,阴性结果)",2026-08-19,"PMID:39127978 | Genetic proxies for therapy of insulin drug targets and risk of osteoarthritis: a drug-target Mendelian randomization analysis. | [全文关键句核实通过-设计确认] [D46-全文核实-Claude] PMID:39127978. Drug-target MR(胰岛素)对OA/KOA/HOA的因果效应独立于6个候选中介(BMI/久坐行为/吸烟/饮酒/年龄/性别)——MVMR调整后direct effect依然显著，且Table 2显示全部6个中介的""Proportion of mediation""都是NA(beta1或beta2至少一个不显著)，提示胰岛素对OA的因果关系是直接效应，不是通过这些代谢/生活方式因素中介。胰岛素工具变量的条件F统计量只有2.74(远低于常规10的阈值)，弱工具变量偏倚风险较高，这可能是阴性结果的部分原因，原文自己也承认了这个局限性。"
S097,Integrating NHANES and network toxicology to assess the impact of organophosphat,Toxicol Mech Methods,2026,两步法MR中介,,,,,,,,,,,无法判断,,,,,,,,,,,,,,,PMID:41804832,"Claude(AI初筛,待人工复核)",2026-07-01,"PMID:41804832 | [第一轮-摘要判断，需全文核实] [D38-终态标注: PMID 41804832 全文不可得(oa_status=None)，按编码规则Rule标""无法判断""+n_IV_shared留空]"
S404,Xu XC_2025,Medicine (Baltimore),2025,两步法MR中介,,,,,,,,,,,,,,,,,,,,,,,,,,,"Claude(AI全文核实,已确认设计)",2026-07-02,PMID:40988251 | Genetically proxied glucagon-like peptide-1 receptor agonist is associated with risk of tubulo-interstitial nephritis: A network Mendelian randomizati | [全文关键句核实通过-设计确认]
S167,Huang Q_2023,PLoS One,2023,两步法MR中介,,Alcoholic liver disease(ALD),Serum 25-OHD levels(维生素D),FN-BMD(股骨颈骨密度),FinnGen(ALD),,15,223,,2.21,"ALD/NAFLD只用P<5e-6宽松阈值(严格阈值下ALD仅1个SNP,NAFLD仅2个,不够用);只有ALD单变量MR对BMD显著,NAFLD不显著未进入中介分析",,,,Product of coefficients(coefficient product method),,否,-0.00661,0.0965,,,,,"是(部分中介,效应量较小)","中风险(ALD工具变量用了宽松阈值P<5e-6,而非标准5e-8,弱工具变量风险需关注,虽然F统计量报告尚可)",summary stats公开(FinnGen等),Claude(AI全文核实),2026-08-19,"PMID:37856513 | The associations of alcoholic liver disease and nonalcoholic fatty liver disease with bone mineral density and the mediation of serum 25-Hydroxyvitami | [全文关键句核实通过-设计确认] [D46-全文核实-Claude] PMID:37856513. 标准two-step MR:ALD(15个SNP,宽松阈值)→25-OHD(223个SNP)→FN-BMD。同时测试了NAFLD(12个SNP)是否是另一条暴露路径，但NAFLD对BMD的单变量MR本身不显著，未进入中介分析，只有ALD这一条路径。alpha(ALD→25OHD)=-0.00661(p=0.00672)，beta(25OHD→FN-BMD,调整ALD后)=0.0965(p=0.00433)。中介比例=2.21%，效应量很小但方向和显著性都清楚，属于部分中介。"
S391,Zhong C_2025,Medicine (Baltimore),2025,两步法MR中介,,,,,,,,,,,,,,,,,,,,,,,,,,,"Claude(AI全文核实,已确认设计)",2026-07-02,PMID:40859490 | Will diabetes mellitus induce aplastic anemia by immune factors?: A two-sample and mediation Mendelian randomization study. | [全文关键句核实通过-设计确认]
S394,,,,两步法MR中介,,,,,,,,,,,,,,,,,,,,,,,,,,,"Claude(AI全文核实,已确认设计)",2026-07-02,"PMID:40917734 | [标题缺失-语料库未匹配到,需自行核实] | [全文关键句核实通过-设计确认]"
S399,Wu Z_2025,Discov Oncol,2025,两步法MR中介,,,,,,,,,,,,,,,,,,,,,,,,,,,"Claude(AI全文核实,已确认设计)",2026-07-02,PMID:40947455 | Identifying potential therapeutic targets for prostate cancer with mediating role in tumor immunity. | [全文关键句核实通过-设计确认]
S441,Hu Z_2025,Front Endocrinol (Lausanne),2025,两步法MR中介,,,,,,,,,,,,,,,,,,,,,,,,,,,"Claude(AI全文核实,已确认设计)",2026-07-02,PMID:41377938 | Morning cortisol as an indicator of arterial stiffness in patients with type 2 diabetes: prospective cohort study and Mendelian randomization study. | [全文关键句核实通过-设计确认]
S479,Zhang S_2026,J Orthop Translat,2026,两步法MR中介,,,,,,,,,,,,,,,,,,,,,,,,,,,"Claude(AI全文核实,已确认设计)",2026-07-02,PMID:41836545 | Causal neurodevelopmental origins of scoliosis: Multi-omics Mendelian randomization reveals brain-region-specific pathways and protein mediators. | [全文关键句核实通过-设计确认]
S044,Decreased diffusivity along the perivascular spaces in bipolar disorder: an MRI-,Transl Psychiatry,2025,两步法MR中介,,,,,,,,,,,无法判断,,,,,,,,,,,,,,,PMID:41257998,"Claude(AI初筛,待人工复核)",2026-07-01,"PMID:41257998 [D38-终态标注: PMID 41257998 全文不可得(oa_status=None)，按编码规则Rule标""无法判断""+n_IV_shared留空]"
S311,Wang X_2025,J Biomed Res,2025,两步法MR中介,,smoking (吸烟行为),thyroid-related phenotypes (甲状腺表型: FT4/TSH/甲亢/甲减),lung cancer (肺癌),,,,,无法判断,,分开选IV,无法判断,,无法判断,Product method,Delta法(独立假设),是,,,,,,,是,是,summary stats公开可获取,"WorkBuddy(AI全文核实-混合设计,MR中介+个体层面Cox)",2026-09-03,"PMID:40065519 | 吸烟→甲状腺表型→肺癌。MR中介(two-step)已执行; 但文中亦用UKB个体层面Cox比例风险回归分析甲状腺↔肺癌关联(观察性并行)。属混合设计, 两步法MR结果可用但需与个体层面结果区分。NONA(无JSON)。"
S049,Plasma metabolites mediate the effects of circulating immune cell phenotypes on ,Medicine (Baltimore),2025,两步法MR中介,,,,,,,,,,,无法判断,,,,,,,,,,,,,,,PMID:40922267,"Claude(AI初筛,待人工复核)",2026-07-01,"PMID:40922267 | 明确2-step MR [D38-终态标注: PMID 40922267 全文不可得(oa_status=None)，按编码规则Rule标""无法判断""+n_IV_shared留空]"
S454,Li W_2026,Medicine (Baltimore),2026,两步法MR中介,,,,,,,,,,,,,,,,,,,,,,,,,,,"Claude(AI初筛-关键词自动分类,待人工复核)",2026-07-02,"PMID:41560095 | Gut microbiota, lipid metabolism, and PCOS: A Mendelian randomization and mediation analysis. | 自动分类原始标签=possible_mediation_unclear_method(置信度low) | [需全文核实-关键词命中较弱或方法表述不明确]"
S449,Lee JY_2026,Neurotherapeutics,2026,两步法MR中介,,,,,,,,,,,,,,,,,,,,,,,,,,,"Claude(AI初筛-关键词自动分类,待人工复核)",2026-07-02,PMID:41469306 | Repurposing dipeptidyl peptidase-4 inhibitor for Parkinson's disease prevention: A drug-target Mendelian randomization study. | 自动分类原始标签=two_step_mediation(置信度medium) | [需全文核实-关键词命中较弱或方法表述不明确]
