study_id,first_author_year,journal,priority,exposure,exp_id,mediator,med_id,outcome,out_id,n_X,n_M,n_shared,pi_shared,F_X,F_M,overlap_note
S273,Huang H_2025,Mamm Genome,A2,"inflammatory factors / gut microbiota / blood cell traits (炎症因子/肠道菌群/血细胞, 3暴露)",ebi-a-GCST90029003,immune traits (免疫性状),ebi-a-GCST90029016,"IgAN (IgA nephropathy, IgA肾病)",ebi-a-GCST90018866,440,13,2,0.1538,89.5,73.4,非零重叠
S249,Xian L_2024,Medicine (Baltimore),A2,211 gut microbiome taxa (肠道菌群),ebi-a-GCST90011646,731 immune cells (免疫细胞),ebi-a-GCST90002406,"BI (brain injury, 脑损伤: FBI额颞叶/TBI创伤性)",finn-b-ST19_DIFFU_BRAIN_INJURY,0,408,0,nan,nan,151.9,零重叠
S266,,,A2,412 gut microbiota (肠道菌群),ebi-a-GCST90027752,731 immune cells (免疫细胞),ebi-a-GCST90002406,"CPH (chronic purpura hemorrhagic, 慢性紫癜)",finn-b-D3_ALLERGPURPURA,0,408,0,nan,nan,151.9,零重叠
S282,Xiao J_2024,Front Immunol,A2,"intestinal flora (gut microbiota, 肠道菌群)",ebi-a-GCST90027752,731 immune cells (免疫细胞),ebi-a-GCST90002406,"AP (acute pancreatitis, 急性胰腺炎)",ebi-a-GCST90018789,0,408,0,nan,nan,151.9,零重叠
S338,Du R_2025,J Mol Neurosci,A2,睡眠时长 (sleep duration),ukb-e-1160_AFR,免疫细胞 (immune cells),ebi-a-GCST90002406,"胶质母细胞瘤 (glioblastoma, GBM)",finn-b-C3_GBM,0,408,0,nan,nan,151.9,零重叠
S348,Xiao F_2025,Medicine (Baltimore),A2,"潜伏性自身免疫糖尿病 (latent autoimmune diabetes, LADA)",ebi-a-GCST90026412,免疫细胞 (immune cells),ebi-a-GCST90002406,"乳腺癌 (breast cancer, BC) 亚型",ebi-a-GCST90018799,3,408,0,0.0,104.6,151.9,零重叠
S366,Yang M_2025,Sci Rep,A2,"血浆代谢物(plasma metabolites, 多性状)",ebi-a-GCST90085788,"免疫细胞(immune cells, 多性状)",ebi-a-GCST90002406,心肌梗死(MI),ebi-a-GCST90038610,1,408,0,0.0,89.2,151.9,零重叠
S370,Men X_2025,Mol Neurobiol,A2,"乳酸化相关基因(lactylation-related genes, e.g. EP300)",ukb-d-1468_2,"免疫细胞(immune cells, 多性状)",ebi-a-GCST90002406,失眠(insomnia),ebi-a-GCST90018869,2,408,0,0.0,32.3,151.9,零重叠
S379,Yang M_2025,Front Endocrinol (Lausanne),A2,"LAT2蛋白(血浆蛋白, LAT2 plasma protein)",prot-a-124,"免疫细胞(immune cells, SardiNIA队列3757人)",ebi-a-GCST90002406,"糖尿病视网膜病变(diabetic retinopathy, DR)",finn-b-H7_RETINOPATHYDIAB_NAS,2,408,0,0.0,50.1,151.9,零重叠
S255,Zhuang X_2024,Front Immunol,A2,"免疫细胞(immune cells, 多性状)",ebi-a-GCST90002406,"血清代谢物(serum metabolites, 多性状)",ebi-a-GCST90025992,"淋巴样白血病(ALL/CLL, lymphoid leukemia)",finn-b-CD2_LYMPHOID_LEUKAEMIA_EXALLC,408,226,1,0.0044,151.9,93.3,非零重叠
S259,,,A2,BMI,ebi-a-GCST90103751,91 inflammatory factors + 249 serum metabolites (炎症因子+血清代谢物),ebi-a-GCST90025992,"KC (kidney cancer, 肾癌)",ukb-b-8297,2,226,0,0.0,44.0,93.3,零重叠
S272,Xian W_2025,Thromb Haemost,A2,"walking pace (步行速度, 遗传代理)",ukb-e-924_MID,"27 serum biomarkers (血清标志物, 如Cystatin C, albumin)",ebi-a-GCST90025992,"VTE (venous thromboembolism, 静脉血栓栓塞)",ebi-a-GCST90038607,0,226,0,nan,nan,93.3,零重叠
S373,Wei Z_2025,Genes Nutr,A2,饮品摄入(beverages: water/coffee/tea/alcohol),ebi-a-GCST90096928,"循环代谢物(serum metabolites, 多性状)",ebi-a-GCST90025992,慢性肾功能(CRF/CKD),ieu-a-1102,43,226,0,0.0,41.8,93.3,零重叠
S137,Niu PP_2022,Front Nutr,A2,25-hydroxyvitamin D(25OHD),ieu-b-4812,血清钙(serum calcium),ebi-a-GCST90025990,migraine(偏头痛),ebi-a-GCST90038646,105,220,2,0.019,213.7,101.1,非零重叠
S314,Liu W_2025,Discov Oncol,A2,"炎症细胞因子 (inflammatory cytokines, 91个筛查)",ebi-a-GCST90038683,"血液代谢物 (blood metabolites, 1400个筛查)",ebi-a-GCST90025986,甲状腺癌 (thyroid cancer),ebi-a-GCST90018929,21,114,0,0.0,52.7,138.0,零重叠
S329,Liu Y_2025,Neurospine,A2,"肠道微生物 (gut microbiota, GM; 5个细菌属)",ebi-a-GCST90027752,"血液代谢物 (blood metabolites, 1400个筛查)",ebi-a-GCST90025986,"椎间盘退变 (intervertebral disc degeneration, IVDD)",finn-b-M13_INTERVERTEB,0,114,0,nan,nan,138.0,零重叠
S263,Zhao P_2024,Front Immunol,A2,"Rheumatoid arthritis (RA, 类风湿关节炎)",ebi-a-GCST90038685,Hallux valgus (拇外翻),ukb-d-M13_HALLUXVALGUS,Flat foot (扁平足),finn-b-M13_FLATFOOT,9,1,0,0.0,209.3,49.3,零重叠
S140,Peng L_2022,Front Endocrinol (Lausanne),A2,BMI,ebi-a-GCST90103751,Triglycerides(TG),ebi-a-GCST90018975,血清尿酸(serum urate),ieu-b-5137,2,248,0,0.0,44.0,167.1,零重叠
S320,Tong H_2025,J Transl Med,A2,"基因 (eQTL/pQTL genes, e.g., MRPL52)",ukb-d-1468_2,"循环代谢物 (circulating metabolites, e.g., Hypotaurine)",ukb-d-1468_2,脓毒症 (sepsis),ieu-b-69,2,2,2,1.0,32.3,32.3,非零重叠
S333,,,A2,"乳糜泻 (celiac disease, CeD)",ieu-a-276,"循环炎症蛋白 (circulating inflammatory proteins, e.g., CCL19)",ukb-d-1468_2,"神经系统疾病 (neurological disorders: MS, dementia, AD, PD, ALS, stroke等)",finn-b-F5_ALZHDEMENT,12,2,0,0.0,54.8,32.3,零重叠
S334,Yao YX_2025,Ren Fail,A2,"GLP1R激动剂 (GLP1R agonist, 药物靶点)",prot-a-249,"循环炎症蛋白 (circulating inflammatory proteins, e.g., SLAMF1, CSF1)",ukb-d-1468_2,"肾脏疾病 (kidney diseases: 糖尿病肾病, IgA肾病等)",ukb-e-530_AFR,0,2,0,nan,nan,32.3,零重叠
S217,Li Y_2024,Front Med (Lausanne),A2,类风湿关节炎(RA),ebi-a-GCST90038685,免疫抑制剂使用(immunosuppressants use),ebi-a-GCST90018991,支气管扩张症(bronchiectasis),ebi-a-GCST90018801,9,10,1,0.1111,209.3,118.0,非零重叠
S150,Du Y_2023,Front Endocrinol (Lausanne),A2,25(OH)D(维生素D),ieu-b-4812,Total testosterone(TT),ieu-b-4864,Osteoporosis(骨质疏松),ebi-a-GCST90038656,105,113,0,0.0,213.7,78.0,零重叠
S353,,,A2,"握力 (handgrip strength, HGS)",ukb-e-46_MID,"血清总睾酮 (serum total testosterone, STT)",ieu-b-4864,"脑白质高信号体积 (white matter hyperintensity, WMH volume)",ubm-a-2676,0,113,0,nan,nan,78.0,零重叠
S343,Hao X_2025,J Prev Alzheimers Dis,A2,抑郁 (depression),ebi-a-GCST90038650,"疼痛/虚弱/炎症因素 (pain, frailty, inflammatory factors)",ebi-a-GCST90020053,认知表现 (cognitive performance),ebi-a-GCST006572,1,16,0,0.0,32.6,42.7,零重叠
S179,Li JS_2024,Aging (Albany NY),A2,DKK1(血浆蛋白),prot-c-3535_84_1,PDGF-B(血浆蛋白),ebi-a-GCST90092809,急性心梗(AMI),finn-b-I9_POSTAMI,0,57,0,nan,nan,169.4,零重叠
S237,Mao T_2024,Diabetol Metab Syndr,A2,"GLP1R agonism(GLP-1受体激动剂,drug-target MR)",bbj-a-111,LDL-C,ebi-a-GCST90092883,心力衰竭(HF),ebi-a-GCST004732,0,48,0,nan,nan,202.4,零重叠
S267,Fan S_2024,Front Med (Lausanne),A2,"vitamin D (25(OH)D, 维生素D)",ebi-a-GCST90025967,HDL-C / LDL-C / triglycerides (血脂),ebi-a-GCST90092943,ocular disorders (眼部疾病: WAMD等),finn-b-H7_OCUMUSCLE,88,53,3,0.0566,217.7,162.2,非零重叠
S278,Lu W_2024,Int J Womens Health,A2,"BC (breast cancer, 乳腺癌: overall/ER+/ER-)",ieu-a-1133,"18 metabolic mediators (代谢中介, 代表 HDL-C)",ebi-a-GCST90092930,"CVD (cardiovascular disease, 心血管疾病: CHD/HHD/IHD/HF)",ieu-a-7,41,52,0,0.0,85.4,178.8,零重叠
S306,,,A2,"dietary habits (83种/9类饮食, 如蔬菜/咖啡/盐/酒/奶酪)",ukb-e-100009_CSA,blood lipids (血脂: HDL-C/LDL-C/TG/TC),ebi-a-GCST90092930,"MI (myocardial infarction, 心肌梗死)",ebi-a-GCST90038610,0,52,0,nan,nan,178.8,零重叠
S279,Liu J_2024,BMC Pregnancy Childbirth,A2,731 immunophenotypes (免疫表型),ubm-b-3159,"cardiovascular proteins (心血管蛋白, 如HLA-DR/LOX-1等)",ebi-a-GCST90086057,"HDP (妊娠期高血压疾病, 含preeclampsia/eclampsia)",finn-b-O15_ECLAMPSIA,1,2,0,0.0,31.7,32.0,零重叠
S134,Topiwala A_2022,PLoS Med,A2,weekly alcohol intake,ukb-e-1558_CSA,liver/serum iron measures,ebi-a-GCST90016674,"brain magnetic susceptibility(6个脑区,仅尾状核caudate显著中介48%,其余5个不显著)",ebi-a-GCST90018800,0,9,0,nan,nan,264.5,零重叠
S295,Cheng Z_2025,Int J Chron Obstruct Pulmon Dis,A2,"frailty (frailty index, 衰弱指数)",ebi-a-GCST90020053,"confounders (GC/FC等混杂因子, 中介结构待核)",ubm-b-278,"COPD (chronic obstructive pulmonary disease, 慢阻肺)",ebi-a-GCST90018807,16,12,0,0.0,42.7,55.2,零重叠
S387,,,A2,"肠道菌群(gut microbiota, 207 taxa)",ebi-a-GCST90027752,"免疫细胞(immunocytes, 730 phenotypes)",ubm-b-3158,"炎症性肠病(IBD, 含UC/CD)",finn-b-K11_IBD_STRICT_PSC,0,0,0,nan,nan,nan,零重叠
S159,Maina JG_2023,Diabetes Care,A2,Depression(102个SNP),ebi-a-GCST90038650,BMI(97个SNP),ebi-a-GCST90103751,T2DM,ebi-a-GCST90038634,1,2,0,0.0,32.6,44.0,零重叠
S189,Yang Y_2024,Cell Biosci,A2,"ABCC8/KCNJ11(磺脲类降糖药靶点,drug-target MR)",bbj-a-111,BMI,ebi-a-GCST90103751,胰腺癌(pancreatic cancer),ebi-a-GCST90018893,0,2,0,nan,nan,44.0,零重叠
S210,Liu MM_2024,Front Genet,A2,"HMGCR inhibition(他汀类药物靶点,drug-target MR)",bbj-a-111,BMI,ebi-a-GCST90103751,"肩袖损伤(RCS,rotator cuff syndrome)",ukb-d-M13_ROTATORCUFF,0,2,0,nan,nan,44.0,零重叠
S246,Zhong J_2024,J Am Heart Assoc,A2,"well-being (幸福感, WBS及组分: life satisfaction/positive affect/neuroticism/depressive symptoms)",ieu-b-4839,"lifestyle factors + inflammation biomarkers (生活方式+炎症标志物, 如 BMI/中性粒细胞)",ebi-a-GCST90103751,CVD (心血管疾病: CHD/MI/HF/stroke),ieu-a-7,0,2,0,nan,nan,44.0,零重叠
S271,Tong B_2024,Lipids Health Dis,A2,128 blood metabolites (血液代谢物),ebi-a-GCST90025986,risk factors (危险因素: T2D/BMI/IOP/视网膜厚度等),ebi-a-GCST90103751,"glaucoma/AMD (青光眼/年龄相关性黄斑变性, OND)",ebi-a-GCST90038648,114,2,0,0.0,138.0,44.0,零重叠
S281,,,A2,insomnia (失眠),ebi-a-GCST90018869,smoking initiation / BMI / alcohol (吸烟起始/BMI/饮酒),ebi-a-GCST90103751,"MI (myocardial infarction, 心肌梗死)",ebi-a-GCST90038610,0,2,0,nan,nan,44.0,零重叠
S293,,,A2,BMI,ebi-a-GCST90103751,"4907 plasma proteins (BMI-driven proteins, BMI驱动的血浆蛋白)",ebi-a-GCST90103751,cardiometabolic diseases (CAD/缺血性卒中/心栓塞性卒中/T2D),ebi-a-GCST90038634,2,2,2,1.0,44.0,44.0,非零重叠
S299,Shao H_2025,Int J Womens Health,A2,"lipid traits / LPL (血脂特征, 如 LPL 脂质修饰靶点)",ebi-a-GCST90029016,"obesity phenotypes (BMI/WHR/WC/HC, 肥胖表型)",ebi-a-GCST90103751,preeclampsia / GDM / ICP (子痫前期/妊娠糖尿病/妊娠期肝内胆汁淤积),ebi-a-GCST90018906,13,2,0,0.0,73.4,44.0,零重叠
S312,Zhang K_2025,Medicine (Baltimore),A2,"DM (T1D/T2D, 糖尿病)",finn-b-T1D_STRICT2,BMI/smoking/HbA1c/cortical bone erosion/anemia (BMI/吸烟/糖化血红蛋白/皮质骨侵蚀/贫血),ebi-a-GCST90103751,"OM (osteomyelitis, 骨髓炎)",ieu-b-4975,3,2,0,0.0,77.3,44.0,零重叠
S321,Xiang L_2025,Int J Mol Sci,A2,"GLP1RA (药物靶点, genetically proxied GLP1R activation)",prot-a-2741,BMI/体重管理 (BMI / weight management),ebi-a-GCST90103751,"精神分裂症风险 (schizophrenia, SZ risk)",ebi-a-GCST90018919,0,2,0,nan,nan,44.0,零重叠
S355,Wang C_2025,Am J Prev Cardiol,A2,生活方式因素 (lifestyle: 久坐/步行/睡眠/MVPA),finn-b-Z21_PROBL_RELATED_LIFESTYLE,"BMI、腰臀比 (BMI, WHR)",ebi-a-GCST90103751,高血压 (hypertension),ieu-b-5144,0,2,0,nan,nan,44.0,零重叠
S367,Mao B_2025,Sci Rep,A2,吸烟(smoking),finn-b-SMOKING,"肥胖(obesity, BMI)",ebi-a-GCST90103751,骨关节炎(OA),ebi-a-GCST90038686,1,2,0,0.0,31.9,44.0,零重叠
S317,Huang Z_2025,Clin Cosmet Investig Dermatol,A2,肠道微生物 (gut / intestinal microbiota),ebi-a-GCST90027752,循环炎症蛋白 (circulating inflammatory proteins),ebi-a-GCST90012076,"6种炎症性皮肤病 (acne, eczema, psoriasis vulgaris, psoriatic arthritis, allergic contact dermatitis, seborrheic dermatitis)",finn-b-ALLERGIC_CONTACT_DERMA_DRUGS_CONTACT_W_SKIN,0,2,0,nan,nan,37.2,零重叠
S354,Xiao S_2025,Int J Gynaecol Obstet,A2,"脂质代谢物 (lipid metabolites, 179个)",ebi-a-GCST90092999,"循环炎症因子 (circulating inflammatory factors, 91个)",ebi-a-GCST90012076,早产 (preterm birth),ukb-e-52_p4_CSA,62,2,0,0.0,144.0,37.2,零重叠
S389,Zhou Y_2025,Diabetol Metab Syndr,A2,"肠道菌群(gut microbiota, GM, Dutch Microbiome Project)",ebi-a-GCST90027752,"循环代谢物(circulating metabolites, 1400个)",ebi-a-GCST90012076,"糖尿病视网膜病变(DR, diabetic retinopathy)",finn-b-H7_RETINOPATHYDIAB_NAS,0,2,0,nan,nan,37.2,零重叠
S349,Xiao J_2025,Diagnostics (Basel),"B(中介达标,暴露或结局未匹配)","脂质组 (lipidome, 179脂质物种)",,"免疫细胞 (immune cells, 731免疫表型)",ebi-a-GCST90002406,骨质疏松 (osteoporosis),ebi-a-GCST90038656,,,,,,,"暴露或中介未解析,跳过"
S152,,,B(,"Major depressive disorder(MDD,98个SNP)",ebi-a-GCST90086062,"BMI/smoking initiation/T2DM(3个中介,单独或联合调整)",ebi-a-GCST90103751,12个胃肠道疾病(GERD/胃溃疡/十二指肠溃疡/慢性胃炎/IBS/憩室病/溃疡性结肠炎/NAFLD/酒精性肝病/胆石症/急性胰腺炎/慢性胰腺炎),,1,2,0,0.0,31.1,44.0,零重叠
S208,Yang S_2024,Front Endocrinol (Lausanne),B(,LDL-C,ebi-a-GCST90092883,BMI,ebi-a-GCST90103751,端粒长度(TL),,48,2,0,0.0,202.4,44.0,零重叠
S244,Wang Q_2024,Front Endocrinol (Lausanne),B(,reproductive traits (生殖特征: AAM初潮/AFS初次性行为/AFB初产/ALB末产/AMP绝经),ebi-a-GCST90029016,BMI + SES (健康条件+社会经济地位: EA教育年限/TDI Townsend剥夺指数),ebi-a-GCST90103751,NAFLD (非酒精性脂肪肝),,13,2,0,0.0,73.4,44.0,零重叠
S375,,,B(,"可成药基因(druggable genes, eQTL)",ieu-b-5114,OP相关风险因素(T2D/BMI/91炎症蛋白),ebi-a-GCST90103751,骨质疏松(OP),,123,2,0,0.0,44.7,44.0,零重叠
S352,Sun Y_2025,J Cell Mol Med,"B(中介达标,暴露或结局未匹配)",脂质组 (lipidome),,循环炎症蛋白 (circulating inflammatory proteins),ebi-a-GCST90012076,"糖尿病视网膜病变 (diabetic retinopathy, DR; NPDR, PDR)",finn-b-H7_RETINOPATHYDIAB_NAS,,,,,,,"暴露或中介未解析,跳过"
