study_id,pmid,first_author_year,journal,title,design_type,IV_selection_strategy,reports_overlap_risk
S471,41760004,Li JA_2026,Medicine (Baltimore),Immune cells mediated the causal relationship between gut microbiota and carpal tunnel syndrome: A Mendelian randomization study.,两步法MR中介,分开选IV,部分
S046,40714123,Mediating role of thyroid dysfunction in the relationship between insomnia and o,Exp Gerontol,,两步法MR中介,分开选IV,是
S057,41449282,The role of metabolites in the causal effect of immune cell phenotypes on immuno,Discov Oncol,,两步法MR中介,分开选IV,否
S208,38863926,Yang S_2024,Front Endocrinol (Lausanne),The association between telomere length and blood lipids: a bidirectional two-sample Mendelian randomization study.,两步法MR中介,分开选IV,否
S053,41031338,Beyond BMI: A Mendelian Randomization Study of the Causal Effects and Mediating ,Int J Womens Health,Beyond BMI: A Mendelian Randomization Study of the Causal Effects and Mediating Pathways of Regional Adipose Tissue Depots on Polycystic Ovary Syndrome.,两步法MR中介,分开选IV,是
S421,41224763,,,Genetic underpinnings and causal effects of brain structure and function on chronic pain intensity.,两步法MR中介,分开选IV,是
S009,37764718,"Causal Link between Gut Microbiota, Neurophysiological States, and Bone Diseases",Nutrients,,两步法MR中介,分开选IV,部分
S494,41988095,Wen X_2026,Clin Cosmet Investig Dermatol,Causal Effects of Diet on Atopic Dermatitis: A Mendelian Randomization Study Implicating Lipid Pathways and Clinical Implications.,两步法MR中介,分开选IV,是
S433,41311633,Wang Y_2025,Food Sci Nutr,Mendelian Randomization Mediation Analysis Reveals the Impact of Dietary Preferences on Preeclampsia and Fetal Growth Restriction via Immune Modulation.,两步法MR中介,分开选IV,是
S492,41978582,Zhang Z_2026,Int J Chron Obstruct Pulmon Dis,Pulmonary-Intestinal Axis: Shared Genetic Basis and Mediating Factors Identified Through Multi-Omics Analysis.,两步法MR中介,分开选IV,是
S230,39127978,Cao Z_2024,Inflammopharmacology,Genetic proxies for therapy of insulin drug targets and risk of osteoarthritis: a drug-target Mendelian randomization analysis.,两步法MR中介,分开选IV,是
S097,41804832,Integrating NHANES and network toxicology to assess the impact of organophosphat,Toxicol Mech Methods,,两步法MR中介,无法判断,否
S404,40988251,Xu XC_2025,Medicine (Baltimore),Genetically proxied glucagon-like peptide-1 receptor agonist is associated with risk of tubulo-interstitial nephritis: A network Mendelian randomization study.,两步法MR中介,分开选IV,部分
S167,37856513,Huang Q_2023,PLoS One,The associations of alcoholic liver disease and nonalcoholic fatty liver disease with bone mineral density and the mediation of serum 25-Hydroxyvitamin D: A bidirectional and two-step Mendelian randomization.,两步法MR中介,分开选IV,否
S391,40859490,Zhong C_2025,Medicine (Baltimore),Will diabetes mellitus induce aplastic anemia by immune factors?: A two-sample and mediation Mendelian randomization study.,两步法MR中介,分开选IV,否
S394,40917734,,,The Impact of Age at First Sexual Intercourse on Female Reproductive Disorders: A Mendelian Randomized Study.,两步法MR中介,分开选IV,是
S399,40947455,Wu Z_2025,Discov Oncol,Identifying potential therapeutic targets for prostate cancer with mediating role in tumor immunity.,两步法MR中介,分开选IV,部分
S441,41377938,Hu Z_2025,Front Endocrinol (Lausanne),Morning cortisol as an indicator of arterial stiffness in patients with type 2 diabetes: prospective cohort study and Mendelian randomization study.,两步法MR中介,分开选IV,否
S479,41836545,Zhang S_2026,J Orthop Translat,Causal neurodevelopmental origins of scoliosis: Multi-omics Mendelian randomization reveals brain-region-specific pathways and protein mediators.,两步法MR中介,分开选IV,部分
S044,41257998,Decreased diffusivity along the perivascular spaces in bipolar disorder: an MRI-,Transl Psychiatry,,两步法MR中介,分开选IV,否
S311,40065519,Wang X_2025,J Biomed Res,"Bidirectional Mendelian randomization and mediation analysis of million-scale data reveal causal relationships between thyroid-related phenotypes, smoking, and lung cancer.",两步法MR中介,分开选IV,部分
S049,40922267,Plasma metabolites mediate the effects of circulating immune cell phenotypes on ,Medicine (Baltimore),,两步法MR中介,分开选IV,否
S454,41560095,Li W_2026,Medicine (Baltimore),"Gut microbiota, lipid metabolism, and PCOS: A Mendelian randomization and mediation analysis.",两步法MR中介,分开选IV,否
S449,41469306,Lee JY_2026,Neurotherapeutics,Repurposing dipeptidyl peptidase-4 inhibitor for Parkinson's disease prevention: A drug-target Mendelian randomization study.,两步法MR中介,分开选IV,部分
S210,38903760,Liu MM_2024,Front Genet,A causal association between lipid-lowering medications and rotator cuff syndrome: a drug-targeted mendelian randomization study.,两步法MR中介,分开选IV,否
S520,42278567,Wang X_2026,Int J Mol Sci,From Pathway Tracing to Actionable Targets: Integrative Mendelian Randomization and Experimental Triangulation Map Metabolic Pathways Across Ovarian Cancer Histotypes.,两步法MR中介,分开选IV,是
S423,41234001,,,Association between neuroticism and brain-wide structural outcomes: Mediation by vascular and mental conditions.,两步法MR中介,分开选IV,是
S070,41151745,"Effect of the plasma lipidome, immune cells, inflammatory proteins, gut microbio",Brain Res,,两步法MR中介,分开选IV,否
